"Temp";"Bioscreen";"k";"r"
26;"A";1.53426349396402;0.163296378524884
26;"A";1.51063720333797;0.161821305117681
26;"A";1.41511261234543;0.157882131090059
26;"A";1.55928544332219;0.158479725664189
26;"A";1.64612906227738;0.145234980935764
26;"A";1.63511294013757;0.145599097066526
26;"A";1.44884439141765;0.16628890494937
26;"A";1.48706890902996;0.163448200625318
26;"A";1.36925580398026;0.157589446506427
26;"A";0.62019114313093;0.166523597641284
26;"A";1.28584939114028;0.157474010852211
26;"A";1.38486515657943;0.151090204817653
26;"A";1.23063268345536;0.155294677705507
26;"A";1.66073399657253;0.153082801749924
26;"A";1.62162689074813;0.153799982925272
26;"A";1.41763303696796;0.16601115520022
26;"A";1.56111542423808;0.163919593872735
26;"A";1.60973381877689;0.161864603217296
26;"A";1.44825760599979;0.158042313922128
26;"A";0.845775821508942;0.162263463505042
26;"A";1.28695516030872;0.148077820872778
26;"A";1.00605793254069;0.163801869420526
26;"A";1.14707563115665;0.159262879756966
26;"A";1.23282225965348;0.172796734942431
26;"A";1.33766931029727;0.165067298042468
26;"A";1.44400301690301;0.16191442994351
26;"A";1.38751170352357;0.157316617978276
26;"A";1.35731304424342;0.162880114094069
26;"A";0.820166311873676;0.181497853887041
26;"A";0.564666494538148;0.153944833424096
30;"A";0.927211184249025;0.15937853750279
30;"A";1.17221991897959;0.201673570625123
30;"A";1.21773749637022;0.200178236069672
30;"A";1.28794563036719;0.194099976423
30;"A";1.40503402495848;0.210785994714483
30;"A";1.37551209315476;0.219784151928508
30;"A";1.46306737878666;0.206053994860529
30;"A";1.3802523425908;0.223847751389407
30;"A";1.40132999114826;0.215703929189597
30;"A";1.18883572010359;0.208217175847371
30;"A";1.54343911601351;0.156545406684539
30;"A";1.52285554466777;0.169129776582984
30;"A";1.54126426172329;0.199209449531791
30;"A";1.47028663878086;0.20707285814165
30;"A";1.49301011040486;0.205230694230572
30;"A";1.43313414534951;0.208978681022268
30;"A";1.4221397847154;0.210886950570566
30;"A";1.42613702473776;0.215836142903904
30;"A";1.43047949306913;0.214181053442972
30;"A";1.2128630133601;0.208739982927303
30;"A";1.21575909504705;0.156489461677054
30;"A";1.55962660869348;0.172304273600278
30;"A";1.4677142826439;0.199521409217652
30;"A";1.48239217605003;0.202866842796134
30;"A";1.47312583721357;0.209495938386245
30;"A";1.47702625757093;0.20520723740543
30;"A";1.49006110303005;0.203458314254303
30;"A";1.45772644090725;0.206798120371627
30;"A";1.46178118594273;0.213916038549864
30;"A";1.35475000943666;0.213353273984281
31;"A";1.44961370748699;0.156681613338289
31;"A";1.32525993536622;0.213137799034721
31;"A";1.83287467331105;0.149010003714598
31;"A";1.53869125260247;0.190660843235193
31;"A";1.41390683633418;0.225784621404576
31;"A";1.4303409043598;0.210353705509951
31;"A";1.38101697072554;0.240527594822655
31;"A";1.7546110072762;0.161913011750668
31;"A";1.84044428157597;0.165703723705894
31;"A";1.89914662614787;0.160933524377527
31;"A";1.65187263343744;0.17709238632812
31;"A";1.44860769225826;0.226693997805368
31;"A";1.42410003963994;0.245813214443912
31;"A";1.58445791835106;0.181602054128024
31;"A";1.48272113318589;0.206274540149394
31;"A";1.35132922833825;0.246080461942518
31;"A";1.35957470364707;0.229316665620409
31;"A";1.38405790635996;0.249939914732359
31;"A";1.42266892649786;0.176429740929413
31;"A";1.50033822682572;0.183850770152903
31;"A";1.54076677254687;0.21635594836917
31;"A";1.52855751017985;0.224195801333157
31;"A";1.43916434565571;0.230915138724789
31;"A";1.4522500705263;0.237547625790865
31;"A";1.60235613264241;0.192461584220994
31;"A";1.56369975235985;0.189650229547445
31;"A";1.53574145399328;0.203263852664318
31;"A";1.48047930464588;0.210202760151065
31;"A";1.46812876885362;0.175291238233791
31;"A";1.6668375841413;0.175660527824123
33;"A";0.99102101485016;0.307314010743297
33;"A";1.24461208832927;0.308556752600564
33;"A";1.26533023259034;0.315465681093699
33;"A";1.31804895710448;0.292830825294023
33;"A";1.23383874105935;0.321607863663026
33;"A";1.28656574593637;0.30726660843393
33;"A";1.22854456838518;0.316380721121133
33;"A";1.32972265030322;0.306115010560357
33;"A";1.08971901986163;0.286208821580321
33;"A";0.906405220570334;0.184643536176222
33;"A";1.06364105781713;0.269763862945912
33;"A";1.0447159216718;0.285163128865353
33;"A";1.24334310824291;0.290834339514269
33;"A";1.27233099414193;0.297598342647122
33;"A";1.16769175442304;0.29113463221999
33;"A";1.25622704940762;0.267490859039741
33;"A";1.29230688447055;0.272424120642371
33;"A";1.28720882570954;0.307705663259813
33;"A";1.2332002922985;0.302877757294138
33;"A";0.74409242491292;0.229551203362222
